序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資AI,112C71424,庳璷轩,l3bkjpks1ef,8,5,9,2,3,7,6,3,0,9
2,資工所,112590340,恟挃陖,vgky0yxj4w,3,2,7,1,6,7,6,4,2,3
3,資工所,111C71737,揪胤痩,18htmfisrz,8,6,4,5,7,5,8,8,4,4
4,創新AI,11259015,盽夳宅,gnwj711kinj,5,1,1,6,7,3,7,2,3,8
5,資工所,111C52661,昣钽葰,kilsti15v6,3,8,6,1,0,5,9,1,5,1
6,資工系,11259885,祍蝩爧,yk3w6v6jpbf,1,6,1,9,3,3,2,7,3,1
7,電資資安,112C71221,阃考燸,anlc1eubls,4,0,0,6,5,4,6,8,1,4
8,資工所,111C53385,鷂洏賚,huzhubyx9n,6,5,3,6,2,7,3,3,1,3
9,電資資安,111C71631,跳籣檽,2n6gwcf2pgf,5,5,7,5,2,8,4,1,3,6
10,資工所,111590690,勂汭辟,yfjcchxbcl,8,2,1,2,6,9,4,2,7,1
11,創新AI,111C52138,擰剓嘉,7p44hqu4it,2,3,2,6,1,3,5,7,9,7
12,資工系,111C71407,魵澆燞,7a1ih42c0h,1,9,1,9,5,3,7,6,8,1
13,創新AI,112C52155,犕撂骔,o9j0v6848y,6,0,3,8,3,4,7,9,0,0
14,創新AI,111C71728,欗嘇阓,bpzkd5t4xl,9,8,6,2,3,8,8,7,8,1
15,電資資安,112598129,鱭鈭沖,agfesb5uyj,0,0,7,9,4,4,5,5,7,9
16,資工所,111C71952,畎鴒琦,t9fa31bom5,0,4,8,5,9,5,4,8,2,5
17,創新AI,112590484,沏紺鉒,0nctzqvxohf,3,9,1,9,7,8,1,4,7,5
18,創新AI,111C52213,豤寱錍,5rxlwpvs5u,3,1,8,0,3,3,3,8,8,5
19,資工系,112C53296,襻坶剩,1ewcf4n9y7,1,8,5,0,5,6,2,5,8,1
20,創新AI,111C53498,锎臀榹,erged9nnoc,4,3,7,1,5,2,4,3,7,4
21,資工系,111C53790,笟汈濹,09zxuu4i9p,1,8,5,2,0,0,8,5,6,8
22,資工系,111C71583,續塈釨,ym3ajbi6yn,2,4,4,4,6,2,2,5,0,4
23,電資資安,112C52842,晁馜攲,xbwv058qax,0,3,9,8,2,2,6,4,0,6
24,電資資安,112C71257,試筈发,8mwtzub5ob,4,2,5,7,9,2,2,8,4,2
25,電資AI,111C53561,玷恤鼽,wg247ma7wb,8,1,3,8,7,1,4,7,2,3
26,創新AI,112598339,拈赫晷,g821iz15as,5,0,0,7,1,5,3,5,8,3
27,資工所,112C53565,粁槟鑥,0m7lz22gdbh,1,1,1,1,7,6,2,5,5,0
28,電資資安,112C52984,沚城鋥,cle3nbvy27f,3,4,2,6,6,3,6,2,4,1
29,電資AI,112C7141,梨薬鐈,bakdbi1bk7,1,8,6,4,7,9,2,7,1,3
30,資工所,112C71365,帰快鵗,0qnh417pa,1,5,4,8,9,4,8,2,1,6
31,電資資安,112598312,磳萻蹺,enb2zjj19i,1,0,3,6,0,2,5,5,4,1
32,資工系,112C53101,报霕扐,vyw0qc5t9i,0,4,5,3,1,8,1,1,5,9
33,資工系,112590891,頬檓辛,kueswctcgf,9,3,7,4,7,4,0,3,1,4
34,創新AI,112C53745,漗祬翊,8tzc89fu6fj,3,3,0,8,0,7,4,7,1,9
35,電資資安,111598734,韦箨碬,mx7z6jeo9d,9,4,2,4,9,8,1,3,6,5
36,創新AI,111C53926,妰湇錞,k74k3xa1rr,1,0,2,8,5,8,2,4,5,1
37,資工系,112C53490,畅蚉黯,ljekzxkbvg,2,0,8,1,5,8,0,4,8,9
38,電資資安,111C52830,牨穴勹,ijhvwjvg5q,0,5,3,3,0,9,7,9,4,8
39,資工系,111C52174,篷峙磋,fu914fs3a8,6,7,4,4,9,2,8,3,9,0
40,電資AI,112C52815,薱锸塜,ptqz3jn6gj,0,1,9,7,7,0,5,3,8,9
41,創新AI,111598931,劻褦眎,0epocoqm5qj,6,5,7,2,1,0,0,1,8,9
42,電資AI,111C53146,礪镬蕞,zuw2fwi7fj,4,1,7,6,9,3,1,0,8,6
43,資工所,112C71845,愠輶血,bsk2f8k5btg,7,9,7,9,6,8,8,7,8,4
44,電資資安,111590617,鬄檜濉,8d3xjr6ab2,4,6,7,0,0,3,4,6,6,5
45,電資AI,11259881,澂髮茽,s9r6elo7in,6,1,1,1,1,5,0,8,5,3
46,資工所,111C52397,趵霖熊,yq0l2xcr3ui,5,8,7,3,3,6,6,6,3,8
47,資工所,112C52349,掀可祈,7xcxgbpihr,5,9,7,2,4,2,1,5,0,1
48,創新AI,112598645,橋寢幭,ipl6ixokol,0,8,7,2,9,0,6,5,7,4
49,資工所,111590917,弃谨鸐,onuzq6vh53,6,6,5,4,6,1,1,4,8,8
50,資工所,111598351,蜭攚帅,9b7d7znpl1l,6,6,0,8,5,8,3,9,4,1
51,創新AI,111598219,猈俓萆,tzbvzc2f0qj,7,3,8,1,5,4,4,0,9,5
52,電資資安,111598556,鏶塭綆,1uy2lp41tn,3,2,9,4,1,0,6,6,3,0
53,電資AI,111590822,藂萜窿,ume2sig4we,5,9,0,7,8,8,3,8,3,5
54,資工所,112C71478,姓緌躻,wl4x8enwpa,0,0,2,2,6,0,1,5,3,5
55,創新AI,111C52181,穐慽逇,8itbfuy2ask,1,1,8,9,4,7,0,2,3,0
56,電資AI,11259835,弝玽礟,ovamqbyk1kk,8,1,5,1,9,6,9,8,1,0
57,資工系,111C53297,寰慈冧,81luc5ltnph,1,4,0,4,7,3,9,7,7,7
58,電資資安,1125986,嗞霍蓴,7hcpm7jz9n,6,6,8,7,4,3,4,7,8,8
